record_number,full_text_id,processed,decision,reason,Key,Publication Year,Author,Title,Publication Title,ISSN,DOI,Issue,Volume,Journal Abbreviation,Country,Language,Rights,Extra,Notes,File Attachments,Link Attachments
553,ft_553,NA,Include - Title/Abstract,NA,GLGWHT5P,2016,"Dervović, Edina; Hukić, Mirsada",Detection of Puumala virus in the tissue of infected naturally rodent hosts in the area of central Dinarides.,Journal of virological methods,1879-0984 0166-0934,10.1016/j.jviromet.2016.01.007,NA,230,J Virol Methods,Bosnia and Herzegovina,eng,Copyright © 2016 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 26800777,NA,NA,NA
554,ft_554,NA,Include - Title/Abstract,NA,Q6SQ93T5,2016,"Limongi, J. E.; Oliveira, R. C.; Guterres, A.; Costa Neto, S. F.; Fernandes, J.; Vicente, L. H. B.; Coelho, M. G.; Ramos, V. N.; Ferreira, M. S.; Bonvicino, C. R.; D'Andrea, P. S.; Lemos, E. R. S.",Hantavirus pulmonary syndrome and rodent reservoirs in the savanna-like biome of Brazil's southeastern region.,Epidemiology and infection,1469-4409 0950-2688,10.1017/S095026881500237X,5,144,Epidemiol Infect,Brazil,eng,NA,Place: England PMID: 26541807,NA,NA,NA
555,ft_555,NA,Include - Title/Abstract,NA,YUCQARG9,2015,"Bisordi, Ivani; Levis, Silvana; Maeda, Adriana Y.; Suzuki, Akemi; Nagasse-Sugahara, Teresa K.; de Souza, Renato P.; Pereira, Luiz E.; Garcia, Jorge B.; Cerroni, Matheus de P.; de A e Silva, Franko; dos Santos, Cecília L. S.; da Fonseca, Benedito A. L.","Pinhal Virus, a New Arenavirus Isolated from Calomys tener in Brazil.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2014.1708,11,15,Vector Borne Zoonotic Dis,Brazil,eng,NA,Place: United States PMID: 26501215,NA,NA,NA
556,ft_556,NA,Include - Title/Abstract,NA,ZHY5GERW,2015,"Weber de Melo, Vanessa; Sheikh Ali, Hanan; Freise, Jona; Kühnert, Denise; Essbauer, Sandra; Mertens, Marc; Wanka, Konrad M.; Drewes, Stephan; Ulrich, Rainer G.; Heckel, Gerald","Spatiotemporal dynamics of Puumala hantavirus associated with its rodent host, Myodes glareolus.",Evolutionary applications,1752-4571,10.1111/eva.12263,6,8,Evol Appl,Germany,eng,NA,Place: England PMID: 26136821 PMCID: PMC4479511,NA,NA,NA
557,ft_557,NA,Include - Title/Abstract,NA,BGINY5RE,2015,"Hu, Tingsong; Fan, Quanshui; Hu, Xiaobing; Deng, Bo; Chen, Gang; Gu, Liangqi; Li, Ming; Zheng, Ying; Yuan, Guihong; Qiu, Wei; Jiang, Xiaomei; Zhang, Fuqiang","Molecular and serological evidence for Seoul virus in rats (Rattus norvegicus) in Zhangmu, Tibet, China.",Archives of virology,1432-8798 0304-8608,10.1007/s00705-015-2391-5,5,160,Arch Virol,China,eng,NA,Place: Austria PMID: 25772576,NA,NA,NA
558,ft_558,NA,Include - Title/Abstract,NA,JUTX3SL4,2015,"Milazzo, Mary Louise; Cajimat, Maria N. B.; Mauldin, Matthew R.; Bennett, Stephen G.; Hess, Barry D.; Rood, Michael P.; Conlan, Christopher A.; Nguyen, Kiet; Wekesa, J. Wakoli; Ramos, Ronald D.; Bradley, Robert D.; Fulhorst, Charles F.","Epizootiology of Tacaribe serocomplex viruses (Arenaviridae) associated with neotomine rodents (Cricetidae, Neotominae) in southern California.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2014.1625,2,15,Vector Borne Zoonotic Dis,USA,eng,NA,Place: United States PMID: 25700047 PMCID: PMC4340808,NA,NA,NA
559,ft_559,NA,Include - Title/Abstract,NA,EPHIMCWH,2015,"Verner-Carlsson, Jenny; Lõhmus, Mare; Sundström, Karin; Strand, Tanja M.; Verkerk, Monique; Reusken, Chantal; Yoshimatsu, Kumiko; Arikawa, Jiro; van de Goot, Frank; Lundkvist, Åke",First evidence of Seoul hantavirus in the wild rat population in the Netherlands.,Infection ecology & epidemiology,2000-8686,10.3402/iee.v5.27215,NA,5,Infect Ecol Epidemiol,Netherlands,eng,NA,Place: United States PMID: 25656468 PMCID: PMC4318940,NA,NA,NA
560,ft_560,NA,Include - Title/Abstract,NA,QARBIXJ8,2015,"Gryseels, Sophie; Rieger, Toni; Oestereich, Lisa; Cuypers, Bart; Borremans, Benny; Makundi, Rhodes; Leirs, Herwig; Günther, Stephan; Goüy de Bellocq, Joëlle","Gairo virus, a novel arenavirus of the widespread Mastomys natalensis: Genetically divergent, but ecologically similar to Lassa and Morogoro viruses.",Virology,1096-0341 0042-6822,10.1016/j.virol.2014.12.011,NA,476,Virology,Tanzania,eng,Copyright © 2014 Elsevier Inc. All rights reserved.,Place: United States PMID: 25559385,NA,NA,NA
561,ft_561,NA,Include - Title/Abstract,NA,WPUMBJ52,2014,"Gu, Se Hun; Hejduk, Janusz; Markowski, Janusz; Kang, Hae Ji; Markowski, Marcin; Połatyńska, Małgorzata; Sikorska, Beata; Liberski, Paweł P.; Yanagihara, Richard",Co-circulation of soricid- and talpid-borne hantaviruses in Poland.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2014.10.017,NA,28,Infect Genet Evol,Poland,eng,Copyright © 2014 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 25445646 PMCID: PMC4257849,NA,NA,NA
562,ft_562,NA,Include - Title/Abstract,NA,YMW5VLJH,2014,"Sun, Xiaokang; Shi, Yuling; Huang, Ping; Deng, Yuanling; Wu, De; Liang, Lijun; Lin, Jinyan","Rats (Rattus norvegicus and Rattus losea) harboring Seoul hantavirus in Qingyuan, southern China: a survey during 2011-2013.",The Southeast Asian journal of tropical medicine and public health,0125-1562,NA,5,45,Southeast Asian J Trop Med Public Health,China,eng,NA,Place: Thailand PMID: 25417507,NA,NA,NA
563,ft_563,NA,Include - Title/Abstract,NA,EBNXDD3S,2015,"N' Dilimabaka, Nadine; Berthet, Nicolas; Rougeron, Virginie; Mangombi, Joa Braïthe; Durand, Patrick; Maganga, Gael D.; Bouchier, Christiane; Schneider, Bradley S.; Fair, Joseph; Renaud, François; Leroy, Eric M.",Evidence of lymphocytic choriomeningitis virus (LCMV) in domestic mice in Gabon: risk of emergence of LCMV encephalitis in Central Africa.,Journal of virology,1098-5514 0022-538X,10.1128/JVI.01009-14,2,89,J Virol,Gabon,eng,"Copyright © 2015, American Society for Microbiology. All Rights Reserved.",Place: United States PMID: 25378495 PMCID: PMC4300659,NA,NA,NA
564,ft_564,NA,Include - Title/Abstract,NA,L8IFFT6X,2014,"Hu, Xing Qiang; Li, Shi Guang; Liu, Hong; Wang, Jun; Hua, Ri Mao","Diversity and distribution of host animal species of hantavirus and risk to human health in Jiuhua mountain area, China.",Biomedical and environmental sciences : BES,0895-3988,10.3967/bes2014.122,11,27,Biomed Environ Sci,China,eng,Copyright © 2014 The Editorial Board of Biomedical and Environmental Sciences. Published by China CDC. All rights reserved.,Place: China PMID: 25374018,NA,NA,NA
565,ft_565,NA,Include - Title/Abstract,NA,8T68LCPV,2014,"Firth, Cadhla; Bhat, Meera; Firth, Matthew A.; Williams, Simon H.; Frye, Matthew J.; Simmonds, Peter; Conte, Juliette M.; Ng, James; Garcia, Joel; Bhuva, Nishit P.; Lee, Bohyun; Che, Xiaoyu; Quan, Phenix-Lan; Lipkin, W. Ian",Detection of zoonotic pathogens and characterization of novel viruses carried by commensal Rattus norvegicus in New York City.,mBio,2150-7511,10.1128/mBio.01933-14,5,5,mBio,USA,eng,Copyright © 2014 Firth et al.,Place: United States PMID: 25316698 PMCID: PMC4205793,NA,NA,NA
566,ft_566,NA,Include - Title/Abstract,NA,36JSRJSW,2014,"Wang, Cai-Qiao; Gao, Jian-Hua; Li, Ming; Guo, Wen-Ping; Lu, Ming-Qing; Wang, Wen; Hu, Man-Xia; Li, Ming-Hui; Yang, Jun; Liang, Hui-Jie; Tian, Xi-Feng; Holmes, Edward C.; Zhang, Yong-Zhen","Co-circulation of Hantaan, Kenkeme, and Khabarovsk Hantaviruses in Bolshoy Ussuriysky Island, China.",Virus research,1872-7492 0168-1702,10.1016/j.virusres.2014.07.021,NA,191,Virus Res,China,eng,Copyright © 2014 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 25087879,NA,NA,NA
567,ft_567,NA,Include - Title/Abstract,NA,IQ3AVTTQ,2014,"Ling, Jiaxin; Sironen, Tarja; Voutilainen, Liina; Hepojoki, Satu; Niemimaa, Jukka; Isoviita, Veli-Matti; Vaheri, Antti; Henttonen, Heikki; Vapalahti, Olli",Hantaviruses in Finnish soricomorphs: evidence for two distinct hantaviruses carried by Sorex araneus suggesting ancient host-switch.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2014.06.023,NA,27,Infect Genet Evol,Finland,eng,Copyright © 2014 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 24997334,NA,NA,NA
568,ft_568,NA,Include - Title/Abstract,NA,RQ6K7H6Z,2014,"Svoboda, Petra; Dobler, Gerhard; Markotić, Alemka; Kurolt, Ivan-Christian; Speck, Stephanie; Habuš, Josipa; Vucelja, Marko; Krajinović, Lidija Cvetko; Tadin, Ante; Margaletić, Josip; Essbauer, Sandra","Survey for hantaviruses, tick-borne encephalitis virus, and Rickettsia spp. in small rodents in Croatia.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2013.1457,7,14,Vector Borne Zoonotic Dis,Croatia,eng,NA,Place: United States PMID: 24866325 PMCID: PMC4098074,NA,NA,NA
569,ft_569,NA,Include - Title/Abstract,NA,AEWLQYJE,2014,"de Barros Lopes, Lívia; Guterres, Alexandro; Rozental, Tatiana; Carvalho de Oliveira, Renata; Mares-Guia, Maria Angélica; Fernandes, Jorlan; Figueredo, José Ferreira; Anschau, Inês; de Jesus, Sebastião; V Almeida, Ana Beatriz M.; Cristina da Silva, Valéria; Gomes de Melo Via, Alba Valéria; Bonvicino, Cibele Rodrigues; D'Andrea, Paulo Sérgio; Barreira, Jairo Dias; Sampaio de Lemos, Elba Regina","Rickettsia bellii, Rickettsia amblyommii, and Laguna Negra hantavirus in an Indian reserve in the Brazilian Amazon.",Parasites & vectors,1756-3305,10.1186/1756-3305-7-191,NA,7,Parasit Vectors,Brazil,eng,NA,Place: England PMID: 24742108 PMCID: PMC4018656,NA,NA,NA
570,ft_570,NA,Include - Title/Abstract,NA,N6IVTN2G,2014,"Lee, Jin Goo; Gu, Se Hun; Baek, Luck Ju; Shin, Ok Sarah; Park, Kwang Sook; Kim, Heung-Chul; Klein, Terry A.; Yanagihara, Richard; Song, Jin-Won","Muju virus, harbored by Myodes regulus in Korea, might represent a genetic variant of Puumala virus, the prototype arvicolid rodent-borne hantavirus.",Viruses,1999-4915,10.3390/v6041701,4,6,Viruses,Republic of Korea,eng,NA,Place: Switzerland PMID: 24736214 PMCID: PMC4014717,NA,NA,NA
571,ft_571,NA,Include - Title/Abstract,NA,3R2Z5EA3,2014,"Guterres, Alexandro; de Oliveira, Renata Carvalho; Fernandes, Jorlan; Strecht, Liana; Casado, Flavia; Gomes de Oliveira, Flavio Cesar; D'Andrea, Paulo Sérgio; Bonvicino, Cibele Rodrigues; Schrago, Carlos Guerra; Sampaio de Lemos, Elba Regina",Characterization of Juquitiba virus in Oligoryzomys fornesi from Brazilian Cerrado.,Viruses,1999-4915,10.3390/v6041473,4,6,Viruses,Brazil,eng,NA,Place: Switzerland PMID: 24674957 PMCID: PMC4014705,NA,NA,NA
572,ft_572,NA,Include - Title/Abstract,NA,AVL4LXNU,2014,"Reynes, Jean-Marc; Razafindralambo, Nadia Kaloina; Lacoste, Vincent; Olive, Marie-Marie; Barivelo, Tony Andrianaivo; Soarimalala, Voahangy; Heraud, Jean-Michel; Lavergne, Anne","Anjozorobe hantavirus, a new genetic variant of Thailand virus detected in rodents from Madagascar.","Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2013.1359,3,14,Vector Borne Zoonotic Dis,Madagascar,eng,NA,Place: United States PMID: 24575755 PMCID: PMC3952587,NA,NA,NA
573,ft_573,NA,Include - Title/Abstract,NA,NGHCZL4L,2014,"Dupinay, Tatiana; Pounder, Kieran C.; Ayral, Florence; Laaberki, Maria-Halima; Marston, Denise A.; Lacôte, Sandra; Rey, Catherine; Barbet, Fabienne; Voller, Katja; Nazaret, Nicolas; Artois, Marc; Marianneau, Philippe; Lachuer, Joel; Fooks, Anthony R.; Pépin, Michel; Legras-Lachuer, Catherine; McElhinney, Lorraine M.",Detection and genetic characterization of Seoul virus from commensal brown rats in France.,Virology journal,1743-422X,10.1186/1743-422X-11-32,NA,11,Virol J,France,eng,NA,Place: England PMID: 24555484 PMCID: PMC3944734,NA,NA,NA
574,ft_574,NA,Include - Title/Abstract,NA,D865UBUL,2013,"Safronetz, David; Sogoba, Nafomon; Lopez, Job E.; Maiga, Ousmane; Dahlstrom, Eric; Zivcec, Marko; Feldmann, Friederike; Haddock, Elaine; Fischer, Robert J.; Anderson, Jennifer M.; Munster, Vincent J.; Branco, Luis; Garry, Robert; Porcella, Stephen F.; Schwan, Tom G.; Feldmann, Heinz",Geographic distribution and genetic characterization of Lassa virus in sub-Saharan Mali.,PLoS neglected tropical diseases,1935-2735 1935-2727,10.1371/journal.pntd.0002582,12,7,PLoS Negl Trop Dis,Mali,eng,NA,Place: United States PMID: 24340119 PMCID: PMC3855028,NA,NA,NA
575,ft_575,NA,Include - Title/Abstract,NA,WPQ4IQG6,2014,"Oliveira, Renata Carvalho; Gentile, Rosana; Guterres, Alexandro; Fernandes, Jorlan; Teixeira, Bernardo Rodrigues; Vaz, Vanderson; Valdez, Fernanda Pedone; Vicente, Luciana Helena Bassan; da Costa-Neto, Sócrates Fraga; Bonvicino, Cibele; D'Andrea, Paulo Sergio; Lemos, Elba R. S.",Ecological study of hantavirus infection in wild rodents in an endemic area in Brazil.,Acta tropica,1873-6254 0001-706X,10.1016/j.actatropica.2013.11.016,NA,131,Acta Trop,Brazil,eng,Copyright © 2013 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 24291677,NA,NA,NA
576,ft_576,NA,Include - Title/Abstract,NA,MSM79IGF,2013,"Yao, Lisi; Kang, Zhehao; Liu, Yongxian; Song, Fenglin; Zhang, Xiaolong; Cao, Xiaomei; Zhang, Yunshu; Yang, Yu; Sun, Xiaohong; Wang, Jing; Hu, Kongxin; Liu, Licheng; Chen, Weijun; Shao, Lijun; Xu, Baoliang; Wang, Baolin","Seoul virus in rats (Rattus norvegicus), Hyesan, North Korea, 2009-2011.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1911.130207,11,19,Emerg Infect Dis,North Korea,eng,NA,Place: United States PMID: 24229532 PMCID: PMC3837658,NA,NA,NA
577,ft_577,NA,Include - Title/Abstract,NA,8UIZ2J6G,2013,"Kronmann, Karl C.; Nimo-Paintsil, Shirley; Guirguis, Fady; Kronmann, Lisha C.; Bonney, Kofi; Obiri-Danso, Kwasi; Ampofo, William; Fichet-Calvet, Elisabeth","Two novel arenaviruses detected in pygmy mice, Ghana.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1911.121491,11,19,Emerg Infect Dis,Ghana,eng,NA,Place: United States PMID: 24188212 PMCID: PMC3837667,NA,NA,NA
578,ft_578,NA,Include - Title/Abstract,NA,SSR32BJK,2013,"Bagamian, Karoun H.; Towner, Jonathan S.; Mills, James N.; Kuenzi, Amy J.","Increased detection of Sin Nombre hantavirus RNA in antibody-positive deer mice from Montana, USA: evidence of male bias in RNA viremia.",Viruses,1999-4915,10.3390/v5092320,9,5,Viruses,USA,eng,NA,Place: Switzerland PMID: 24064796 PMCID: PMC3798905,NA,NA,NA
579,ft_579,NA,Include - Title/Abstract,NA,CYY8RFY9,2013,"Guterres, Alexandro; de Oliveira, Renata Carvalho; Fernandes, Jorlan; D'Andrea, Paulo Sérgio; Bonvicino, Cibele R.; Bragagnolo, Camila; Guimarães, Gustavo Ducoff; Almada, Gilton Luiz; Machado, Rosangela Rosa; Lavocat, Marília; Elkhoury, Mauro da Rosa; Schrago, Carlos Guerra; de Lemos, Elba Regina Sampaio",Phylogenetic analysis of the S segment from Juquitiba hantavirus: identification of two distinct lineages in Oligoryzomys nigripes.,"Infection, genetics and evolution : journal of molecular epidemiology and evolutionary genetics in infectious diseases",1567-7257 1567-1348,10.1016/j.meegid.2013.05.027,NA,18,Infect Genet Evol,Brazil,eng,Copyright © 2013 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 23751399,NA,NA,NA
580,ft_580,NA,Exclude - Full Text,"No data, no rodent data",LWF95NDX,2013,"Amada, Takako; Yoshimatsu, Kumiko; Yasuda, Shumpei P.; Shimizu, Kenta; Koma, Takaaki; Hayashimoto, Nobuhito; Gamage, Chandika D.; Nishio, Sanae; Takakura, Akira; Arikawa, Jiro","Rapid, whole blood diagnostic test for detecting anti-hantavirus antibody in rats.",Journal of virological methods,1879-0984 0166-0934,10.1016/j.jviromet.2013.04.021,1,193,J Virol Methods,NA,eng,Copyright © 2013 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 23684845,NA,NA,NA
581,ft_581,NA,Include - Title/Abstract,NA,SIKU6Y22,2013,"Faber, M.; Wollny, T.; Schlegel, M.; Wanka, K. M.; Thiel, J.; Frank, C.; Rimek, D.; Ulrich, R. G.; Stark, K.","Puumala virus outbreak in Western Thuringia, Germany, 2010: epidemiology and strain identification.",Zoonoses and public health,1863-2378 1863-1959,10.1111/zph.12037,8,60,Zoonoses Public Health,Germany,eng,© 2013 Blackwell Verlag GmbH .,Place: Germany PMID: 23398736,NA,NA,NA
582,ft_582,NA,Include - Title/Abstract,NA,NYD9DIPD,2013,"Nakamura, Ichiro; Hang'ombe, Bernard Mudenda; Sawa, Hirofumi; Kobayashi, Shintaro; Orba, Yasuko; Ishii, Akihiro; Thomas, Yuka; Isozumi, Rie; Yoshimatsu, Kumiko; Mweene, Aaron S.; Takada, Ayato; Sugimoto, Chihiro; Arikawa, Jiro",Cross-reactivity of secondary antibodies against African rodents and application for sero-surveillance.,The Journal of veterinary medical science,1347-7439 0916-7250,10.1292/jvms.12-0471,6,75,J Vet Med Sci,Zambia,eng,NA,Place: Japan PMID: 23386359,NA,NA,NA
583,ft_583,NA,Include - Title/Abstract,NA,7JX6537T,2012,"Meheretu, Yonas; Cížková, Dagmar; Těšíková, Jana; Welegerima, Kiros; Tomas, Zewdneh; Kidane, Dawit; Girmay, Kokob; Schmidt-Chanasit, Jonas; Bryja, Josef; Günther, Stephan; Bryjová, Anna; Leirs, Herwig; Goüy de Bellocq, Joëlle","High diversity of RNA viruses in rodents, Ethiopia.",Emerging infectious diseases,1080-6059 1080-6040,10.3201/eid1812.120596,12,18,Emerg Infect Dis,Ethiopia,eng,NA,Place: United States PMID: 23171649 PMCID: PMC3557881,NA,NA,NA
584,ft_584,NA,Include - Title/Abstract,NA,U3BBIQHD,2012,"Firth, Cadhla; Tokarz, Rafal; Simith, Darlene B.; Nunes, Marcio R. T.; Bhat, Meera; Rosa, Elizabeth S. T.; Medeiros, Daniele B. A.; Palacios, Gustavo; Vasconcelos, Pedro F. C.; Lipkin, W. Ian",Diversity and distribution of hantaviruses in South America.,Journal of virology,1098-5514 0022-538X,10.1128/JVI.02341-12,24,86,J Virol,Brazil,eng,NA,Place: United States PMID: 23055565 PMCID: PMC3503106,NA,NA,NA
585,ft_585,NA,Include - Title/Abstract,NA,ULW2YZTE,2013,"Chandy, S.; Ulrich, R. G.; Schlegel, M.; Petraityte, R.; Sasnauskas, K.; Prakash, D. J.; Balraj, V.; Abraham, P.; Sridharan, G.","Hantavirus infection among wild small mammals in Vellore, south India.",Zoonoses and public health,1863-2378 1863-1959,10.1111/j.1863-2378.2012.01532.x,5,60,Zoonoses Public Health,India,eng,© 2012 Blackwell Verlag GmbH.,Place: Germany PMID: 22856552,NA,NA,NA
586,ft_586,NA,Include - Title/Abstract,NA,ELVZQZLH,2012,"Saasa, Ngonda; Sánchez-Hernández, Cornelio; de Lourdes Romero-Almaraz, María; Guerrero-Ibarra, Ezequiel; Almazán-Catalán, Alberto; Yoshida, Haruka; Miyashita, Daisuke; Ishizuka, Mariko; Sanada, Takahiro; Seto, Takahiro; Yoshii, Kentaro; Ramos, Celso; Yoshimatsu, Kumiko; Arikawa, Jiro; Takashima, Ikuo; Kariwa, Hiroaki",Ecology of hantaviruses in Mexico: genetic identification of rodent host species and spillover infection.,Virus research,1872-7492 0168-1702,10.1016/j.virusres.2012.06.020,01-Feb,168,Virus Res,Mexico,eng,Copyright © 2012 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 22750131,NA,NA,NA
587,ft_587,NA,Include - Title/Abstract,NA,2Q92QWFA,2012,"Voutilainen, Liina; Savola, Sakeri; Kallio, Eva Riikka; Laakkonen, Juha; Vaheri, Antti; Vapalahti, Olli; Henttonen, Heikki",Environmental change and disease dynamics: effects of intensive forest management on Puumala hantavirus infection in boreal bank vole populations.,PloS one,1932-6203,10.1371/journal.pone.0039452,6,7,PLoS One,Finland,eng,NA,Place: United States PMID: 22745755 PMCID: PMC3380007,NA,NA,NA
588,ft_588,NA,Include - Title/Abstract,NA,TPILN6JT,2012,"Yama, Ines N.; Cazaux, Benoite; Britton-Davidian, Janice; Moureau, Grégory; Thirion, Laurence; de Lamballerie, Xavier; Dobigny, Gauthier; Charrel, Rémi N.",Isolation and characterization of a new strain of lymphocytic choriomeningitis virus from rodents in southwestern France.,"Vector borne and zoonotic diseases (Larchmont, N.Y.)",1557-7759 1530-3667,10.1089/vbz.2011.0892,10,12,Vector Borne Zoonotic Dis,France,eng,NA,Place: United States PMID: 22651393,NA,NA,NA
589,ft_589,NA,Include - Title/Abstract,NA,LUPYSJEX,2012,"Klempa, Boris; Witkowski, Peter T.; Popugaeva, Elena; Auste, Brita; Koivogui, Lamine; Fichet-Calvet, Elisabeth; Strecker, Thomas; Ter Meulen, Jan; Krüger, Detlev H.","Sangassou virus, the first hantavirus isolate from Africa, displays genetic and functional properties distinct from those of other murinae-associated hantaviruses.",Journal of virology,1098-5514 0022-538X,10.1128/JVI.05879-11,7,86,J Virol,Guinea,eng,NA,Place: United States PMID: 22278233 PMCID: PMC3302504,NA,NA,NA
590,ft_590,NA,Include - Title/Abstract,NA,2UF8IM6P,2012,"Kariwa, Hiroaki; Yoshida, Haruka; Sánchez-Hernández, Cornelio; Romero-Almaraz, María de Lourdes; Almazán-Catalán, José Alberto; Ramos, Celso; Miyashita, Daisuke; Seto, Takahiro; Takano, Ayako; Totani, Masashi; Murata, Ryo; Saasa, Ngonda; Ishizuka, Mariko; Sanada, Takahiro; Yoshii, Kentaro; Yoshimatsu, Kumiko; Arikawa, Jiro; Takashima, Ikuo",Genetic diversity of hantaviruses in Mexico: identification of three novel hantaviruses from Neotominae rodents.,Virus research,1872-7492 0168-1702,10.1016/j.virusres.2011.11.013,2,163,Virus Res,Mexico,eng,Copyright © 2011 Elsevier B.V. All rights reserved.,Place: Netherlands PMID: 22138671,NA,NA,NA
